City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
310,kavaratti,10.5669,72.642,28.19,75,100,100,100,100
311,champagnole,46.7445,5.9135,-6.24,90,18,18,18,18
312,janeng,-25.4167,25.55,21.8,29,12,12,12,12
313,churapcha,62.0025,132.4325,-37.39,100,92,92,92,92
314,le passage,44.2014,0.6028,2.64,100,100,100,100,100
315,ta`u,-14.2336,-169.5144,26.67,81,100,100,100,100
316,pisco,-13.7,-76.2167,19.45,82,0,0,0,0
317,tanjung pandan,-2.75,107.65,30.39,65,100,100,100,100
318,ostroleka,53.0862,21.5757,-1.71,96,100,100,100,100
319,brilon,51.4,8.5833,-1.3,93,96,96,96,96
320,san antonio de pale,-1.4014,5.6325,26.3,84,95,95,95,95
321,galliano,29.4422,-90.2992,24.0,88,100,100,100,100
322,illizi,26.4833,8.4667,12.89,18,0,0,0,0
323,sao vicente,-23.9631,-46.3919,30.15,26,43,43,43,43
324,fayroz koh,34.5195,65.2509,2.41,72,29,29,29,29
325,mizdah,31.4451,12.9801,12.73,25,4,4,4,4
326,guanhaes,-18.775,-42.9325,18.95,97,99,99,99,99
327,tual,-5.6667,132.75,28.63,72,99,99,99,99
328,villa gesell,-37.2639,-56.973,14.47,61,53,53,53,53
329,yigo village,13.5361,144.8886,29.62,72,40,40,40,40
330,hopkinsville,36.8656,-87.4886,10.35,54,100,100,100,100
331,nema,57.5067,50.5011,-17.94,99,51,51,51,51
332,miri,4.4148,114.0089,30.08,74,40,40,40,40
333,ghugus,19.9333,79.1333,25.68,50,95,95,95,95
334,aripuana,-9.1667,-60.6333,23.98,83,84,84,84,84
335,alice springs,-23.7,133.8833,35.75,17,1,1,1,1
336,katima mulilo,-17.5,24.2667,20.03,73,8,8,8,8
337,nova odesa,47.3078,31.7851,10.03,83,80,80,80,80
338,whangarei,-35.7317,174.3239,19.96,82,96,96,96,96
339,san julian,21.0167,-102.1667,15.48,61,100,100,100,100
340,guerrero negro,27.9769,-114.0611,18.29,67,0,0,0,0
341,canmore,51.0834,-115.3521,-0.94,96,100,100,100,100
342,tofol,5.3248,163.0078,27.88,83,100,100,100,100
343,yung shue wan,22.2333,114.1167,23.12,66,67,67,67,67
344,queenstown,-31.8976,26.8753,19.82,60,100,100,100,100
345,laojunmiao,39.8333,97.7333,2.79,20,40,40,40,40
346,puerto armuelles,8.2833,-82.8667,26.72,68,69,69,69,69
347,tagiura,32.8817,13.3506,18.52,74,42,42,42,42
348,suva,-18.1416,178.4415,29.71,74,40,40,40,40
349,luena,-11.7833,19.9167,19.1,100,100,100,100,100
350,itaueira,-7.6033,-43.0256,24.72,63,91,91,91,91
351,kegen,43.0197,79.2203,-0.86,44,8,8,8,8
352,severnoye,56.3491,78.3619,-0.25,98,100,100,100,100
353,valparaiso,-33.0393,-71.6273,14.8,67,0,0,0,0
354,bikenibeu village,1.3673,173.1241,29.98,79,75,75,75,75
355,nogliki,51.8333,143.1667,-12.59,77,11,11,11,11
356,extrema,-22.8547,-46.3183,20.06,69,57,57,57,57
357,ilha de mocambique,-15.0342,40.7358,25.12,72,14,14,14,14
358,masterton,-40.9597,175.6575,15.49,83,100,100,100,100
359,betio village,1.358,172.9211,30.02,82,100,100,100,100
360,uturoa,-16.7333,-151.4333,27.44,78,96,96,96,96
361,tazovsky,67.4667,78.7,-28.24,93,6,6,6,6
362,cabo san lucas,22.8909,-109.9124,23.06,64,0,0,0,0
363,san rafael del yuma,18.4299,-68.6739,26.76,91,80,80,80,80
364,pervomaysk,48.0443,30.8507,6.84,86,100,100,100,100
365,walvis bay,-22.9575,14.5053,17.27,80,100,100,100,100
366,arno,60.1167,18.6333,-2.9,84,100,100,100,100
367,ndioum,16.5129,-14.6471,25.26,36,75,75,75,75
368,benguela,-12.5763,13.4055,25.73,80,96,96,96,96
369,nova xavantina,-14.6667,-52.35,27.15,47,19,19,19,19
370,kuraymah,18.55,31.85,20.51,35,0,0,0,0
371,agadez,19.75,10.25,18.05,20,31,31,31,31
372,marsh harbour,26.5412,-77.0636,25.49,85,85,85,85,85
373,bambanglipuro,-7.95,110.2833,28.74,71,98,98,98,98
374,polessk,54.862,21.1028,-2.97,93,100,100,100,100
375,punta arenas,-53.15,-70.9167,4.06,70,0,0,0,0
376,asentamiento humano nicolas de pierola,-11.95,-76.7,14.52,74,100,100,100,100
377,bealanana,-14.55,48.7333,19.81,90,67,67,67,67
378,kingsbridge,50.2845,-3.7764,7.53,81,100,100,100,100
379,alexandria,31.2156,29.9553,15.3,78,37,37,37,37
380,mammoth lakes,37.6485,-118.9721,1.4,51,40,40,40,40
381,ponta delgada,37.7333,-25.6667,13.4,76,75,75,75,75
382,zhangye,38.9342,100.4517,6.21,11,20,20,20,20
383,iquique,-20.2208,-70.1431,19.02,80,30,30,30,30
384,auki,-8.7676,160.7034,24.33,95,100,100,100,100
385,kilindoni,-7.9139,39.6668,26.96,79,100,100,100,100
386,smithers,54.7804,-127.1743,-2.82,100,100,100,100,100
387,lisala,2.15,21.5167,20.93,98,95,95,95,95
388,yantzaza,-3.8278,-78.7594,20.56,90,58,58,58,58
389,ixtapa,20.7,-105.2,24.01,80,95,95,95,95
390,usinsk,65.9939,57.5281,-11.07,95,100,100,100,100
391,acapulco de juarez,16.8634,-99.8901,26.01,81,59,59,59,59
392,khandyga,62.6667,135.6,-31.5,97,100,100,100,100
393,bogale,16.2833,95.4,30.8,58,73,73,73,73
394,portland,45.5234,-122.6762,9.33,94,100,100,100,100
395,torre del mar,36.7414,-4.0946,12.14,45,0,0,0,0
396,horta,38.5333,-28.6333,13.34,66,96,96,96,96
397,san nicolas,18.1725,120.5953,31.95,55,75,75,75,75
398,usogorsk,63.4106,48.6872,-16.85,99,98,98,98,98
399,igarka,67.4667,86.5833,-30.76,97,86,86,86,86
400,chernyshevskiy,63.0128,112.4714,-36.01,99,77,77,77,77
401,saldanha,-33.0117,17.9442,12.03,77,55,55,55,55
402,santa rosa,14.3122,121.1114,29.5,82,57,57,57,57
403,al qadarif,14.0349,35.3834,23.37,54,30,30,30,30
404,champerico,14.3,-91.9167,26.62,76,2,2,2,2
405,huadian,42.9633,126.7478,-5.31,70,5,5,5,5
406,cafayate,-26.073,-65.9761,22.18,75,35,35,35,35
407,annau,37.8876,58.516,5.72,81,40,40,40,40
408,san juanito,28.0,-107.5833,1.12,27,0,0,0,0
409,aswan,24.0934,32.907,16.61,48,0,0,0,0
410,thief river falls,48.1191,-96.1812,-2.47,74,0,0,0,0
411,mahdia,35.5047,11.0622,16.97,63,97,97,97,97
412,paungde,18.4833,95.5,27.51,62,87,87,87,87
413,nassogne,50.1285,5.3427,-3.13,91,87,87,87,87
414,khash,28.2211,61.2158,13.62,45,0,0,0,0
415,madalena,41.2162,-8.3345,7.48,93,31,31,31,31
416,kone,-21.0595,164.8658,30.18,56,97,97,97,97
417,tarhuna,32.435,13.6332,12.53,79,6,6,6,6
418,beau vallon,-20.4189,57.6953,26.23,94,75,75,75,75
419,tevriz,57.509,72.4042,-6.84,95,100,100,100,100
420,lander,42.833,-108.7307,1.45,51,0,0,0,0
421,san luis de la loma,17.2706,-100.8939,25.56,76,42,42,42,42
422,callao,-12.0667,-77.15,21.51,77,75,75,75,75
423,bamboo flat,11.7,92.7167,29.05,84,75,75,75,75
424,kupang,-10.1667,123.5833,26.32,94,75,75,75,75
425,sisimiut,66.9395,-53.6735,-4.07,71,100,100,100,100
426,shahdad kot,27.8477,67.9055,21.16,35,0,0,0,0
427,dombarovskiy,50.7587,59.5386,-1.11,84,92,92,92,92
428,anamosa,42.1083,-91.2852,1.83,95,100,100,100,100
